anio,pib_usd,fuente
2003,2030295.040041511,CEPAL
2004,2321182.757183526,CEPAL
2005,2821477.685966954,CEPAL
2006,3305730.532862456,CEPAL
2007,3914225.764477524,CEPAL
2008,4579421.32955782,CEPAL
2009,4237405.795177531,CEPAL
2010,5192177.606124648,CEPAL
2011,6043747.15955876,CEPAL
2012,6103551.912896601,CEPAL
2013,6272794.396727491,CEPAL
2014,6195960.627267987,CEPAL
2015,5263089.5845711,CEPAL
2016,5125012.407446727,CEPAL
2017,5623824.811350593,CEPAL
2018,5508842.981871823,CEPAL
2024,6806709.51923842,CEPAL
1990,1219222.38354881,CEPAL
1991,1303536.03856007,CEPAL
1992,1419409.215720463,CEPAL
1993,1572465.550133877,CEPAL
1994,1840380.349494912,CEPAL
1995,1942622.324173959,CEPAL
1996,2097329.601358884,CEPAL
1997,2296864.174941447,CEPAL
1998,2312049.069181656,CEPAL
1999,2084946.323197494,CEPAL
2000,2281221.354538622,CEPAL
2001,2234824.481035059,CEPAL
2002,2000693.244910256,CEPAL
2019,5363014.97180922,CEPAL
2020,4535964.55832422,CEPAL
2021,5161033.899430132,CEPAL
2022,5900927.368402983,CEPAL
2023,6639814.735661334,CEPAL
1960,84329838400.4279,Banco Mundial
1961,89709981773.9291,Banco Mundial
1962,98261282126.6901,Banco Mundial
1963,99893385581.1464,Banco Mundial
1964,111052848438.042,Banco Mundial
1965,119371602868.407,Banco Mundial
1966,131433205589.983,Banco Mundial
1967,134061722395.098,Banco Mundial
1968,143869326230.616,Banco Mundial
1969,160710391278.493,Banco Mundial
1970,175326829534.158,Banco Mundial
1971,195536195231.249,Banco Mundial
1972,219954391453.822,Banco Mundial
1973,292519246389.568,Banco Mundial
1974,379198908310.797,Banco Mundial
1975,397745002329.407,Banco Mundial
1976,436198464311.505,Banco Mundial
1977,479038882979.812,Banco Mundial
1978,574382226867.865,Banco Mundial
1979,644575844029.027,Banco Mundial
1980,783500501539.63,Banco Mundial
1981,894561377247.157,Banco Mundial
1982,823712965139.12,Banco Mundial
1983,726721794879.406,Banco Mundial
1984,764777823849.368,Banco Mundial
1985,756311375939.059,Banco Mundial
1986,765776536062.758,Banco Mundial
1987,821881180249.84,Banco Mundial
1988,901488916776.514,Banco Mundial
1989,995446888620.216,Banco Mundial
1990,1182930524066.3,Banco Mundial
1991,1190363679873.93,Banco Mundial
1992,1299294226948.35,Banco Mundial
1993,1537236482693.87,Banco Mundial
1994,1795857944908.41,Banco Mundial
1995,1942625401757.23,Banco Mundial
1996,2101355129053.54,Banco Mundial
1997,2303819877048.61,Banco Mundial
1998,2332209529441.48,Banco Mundial
1999,2107777544518.75,Banco Mundial
2000,2326949294888.47,Banco Mundial
2001,2282568106526.85,Banco Mundial
2002,2052733951836.01,Banco Mundial
2003,2091860862682.09,Banco Mundial
2004,2405428955596.87,Banco Mundial
2005,2903183974064.52,Banco Mundial
2006,3397283352571.6,Banco Mundial
2007,3998720279668.85,Banco Mundial
2008,4644078687283.98,Banco Mundial
2009,4357527531809.5,Banco Mundial
2010,5397420440102.78,Banco Mundial
2011,6138988197082.15,Banco Mundial
2012,6210848401059.53,Banco Mundial
2013,6364361538445.06,Banco Mundial
2014,6485373197518.46,Banco Mundial
2015,5420625373878.58,Banco Mundial
2016,5285772978074.74,Banco Mundial
2017,5869256493740.25,Banco Mundial
2018,5743189791995.49,Banco Mundial
2019,5659312361702.85,Banco Mundial
2020,4805510770575.42,Banco Mundial
2021,5581050600056.69,Banco Mundial
2022,6344871239270.21,Banco Mundial
2023,7100142198622.08,Banco Mundial
